Key,Description,en,it
Mk-82AIR High Drag Bomb x3_fullName,Full equip name of: Mk-82AIR High Drag Bomb x3,Mk-82AIR High Drag Bomb x3,
Mk-82AIR High Drag Bomb x3_description,Item description of: Mk-82AIR High Drag Bomb x3,Standard un-guided 500lb bombs. Deploys an inflatable drag chute to slow descent for low altitude bombing.,
eqSublabel_BOMB,HUD sub-label of an equip,BOMB,
ON,,ON,
OFF,,OFF,
bombRack_releaseArea,An option for bomb weapons - how wide of a target area to automatically release bombs in.,RELEASE AREA,
SALVO,,SALVO,
bomb_lowG,"HUD label shown when aircraft is under low or negative g-forces, preventing bomb release.","LOW G
NO RELEASE",
s_ccrpAuto,,CCRP AUTO,
MK-82AIR x32_fullName,Full equip name of: MK-82AIR x32,MK-82AIR x32,
MK-82AIR x32_description,Item description of: MK-82AIR x32,A rack of 32 MK-82AIR high drag bombs.,
Hydra-70 x7 Rocket Pod_fullName,Full equip name of: Hydra-70 x7 Rocket Pod,Hydra-70 x7 Rocket Pod,
Hydra-70 x7 Rocket Pod_description,Item description of: Hydra-70 x7 Rocket Pod,"A pod carrying a total of 7 high explosive rockets.  Can be fired in single shot mode, or rapid fire (ripple).",
eqSublabel_ROCKET,HUD sub-label of an equip,ROCKET,
s_rocket_salvo,Rocket launcher salvo option,SALVO,
SB-1 Bomb x3_fullName,Full equip name of: SB-1 Bomb x3,SB-1 Bomb x3,
SB-1 Bomb x3_description,Item description of: SB-1 Bomb x3,Standard un-guided 500lb bombs.,
ASRM-93 x2_fullName,Full equip name of: ASRM-93 x2,ASRM-93 x2,
ASRM-93 x2_description,Item description of: ASRM-93 x2,Heat seeking short range air to air missiles.  Internally stowed.,
irml_seekMode,Option title for IR missiles' heat-seeking mode,SEEK MODE,
irml_trigUncage,"Option title for IR missiles' seeker to be uncaged by the trigger (trigger uncage, shortened for UI space).",TRIG UNCAGE,
s_seekerMode_0,Label for heatseeker mode,Caged,
s_seekerMode_1,Label for heatseeker mode,Uncaged,
s_seekerMode_2,Label for heatseeker mode,Vertical Scan,
s_seekerMode_3,Label for heatseeker mode,Head Track,
s_seekerMode_4,Label for heatseeker mode,Hard Lock,
Mk.83 Bomb x1_fullName,Full equip name of: Mk.83 Bomb x1,Mk.83 Bomb x1,
Mk.83 Bomb x1_description,Item description of: Mk.83 Bomb x1,Standard un-guided 1000lb bomb.,
s_cms_rate_single,CMS release rate - single fire mode,Single,
s_cms_rMode_0,CMS release mode,Single Auto,
s_cms_rMode_1,CMS release mode,Single L,
s_cms_rMode_2,CMS release mode,Single R,
s_cms_rMode_3,CMS release mode,Double,
GBU-12 Laser Guided Bomb x3_fullName,Full equip name of: GBU-12 Laser Guided Bomb x3,GBU-12 Laser Guided Bomb x3,
GBU-12 Laser Guided Bomb x3_description,Item description of: GBU-12 Laser Guided Bomb x3,A rack of three 500lb laser guided bomb.,
eqSublabel_LASER-BOMB,HUD sub-label of an equip,LASER BOMB,
lgb_targetMode,Option title for laser guided bombs' targeting mode.,TARGET MODE,
s_LOAL,Lock on after launch HUD label for laser bomb,LOAL,
